adressetekst,kommunenummer,kommunenavn,postnummer,poststed,lat,lon,epsg
Eikelandsveien 139,4211,GJERSTAD,4993,SUNDEBRU,58.80275317442876,9.098579912907512,EPSG:4258
Eikelandsveien 141,4211,GJERSTAD,4993,SUNDEBRU,58.80294966276185,9.099999641936229,EPSG:4258
Eikelandsveien 153,4211,GJERSTAD,4993,SUNDEBRU,58.80524940237851,9.09919277727925,EPSG:4258
Eikelandsveien 161,4211,GJERSTAD,4993,SUNDEBRU,58.805446166651386,9.100249140029977,EPSG:4258
Eikelandsveien 164,4211,GJERSTAD,4993,SUNDEBRU,58.806693674312584,9.101325886504197,EPSG:4258
Eikelandsveien 166,4211,GJERSTAD,4993,SUNDEBRU,58.80725237840691,9.097713372184419,EPSG:4258
Eikelandsveien 168,4211,GJERSTAD,4993,SUNDEBRU,58.807294712491974,9.10219309577729,EPSG:4258
Eikelandsveien 170,4211,GJERSTAD,4993,SUNDEBRU,58.80610975245363,9.10153188662113,EPSG:4258
Eikelandsveien 185,4211,GJERSTAD,4993,SUNDEBRU,58.80520946825544,9.104281244278367,EPSG:4258
Eikelandsveien 19,4211,GJERSTAD,4993,SUNDEBRU,58.7997658670405,9.08085072675619,EPSG:4258
Eikelandsveien 25,4211,GJERSTAD,4993,SUNDEBRU,58.79986394761628,9.081975807979104,EPSG:4258
Eikelandsveien 27,4211,GJERSTAD,4993,SUNDEBRU,58.800016347694694,9.082408805077062,EPSG:4258
Eikelandsveien 3,4211,GJERSTAD,4993,SUNDEBRU,58.798967275758116,9.079706740382601,EPSG:4258
Eikelandsveien 36,4211,GJERSTAD,4993,SUNDEBRU,58.80004242156182,9.083758697573325,EPSG:4258
Eikelandsveien 4,4211,GJERSTAD,4993,SUNDEBRU,58.799237022857255,9.07918820527026,EPSG:4258
Eikelandsveien 41,4211,GJERSTAD,4993,SUNDEBRU,58.79957994546326,9.090354360651629,EPSG:4258
Eikelandsveien 43,4211,GJERSTAD,4993,SUNDEBRU,58.79674242039016,9.090992420919195,EPSG:4258
Eikelandsveien 45,4211,GJERSTAD,4993,SUNDEBRU,58.799894882696705,9.08948644566436,EPSG:4258
Eikelandsveien 47,4211,GJERSTAD,4993,SUNDEBRU,58.800137916843475,9.08869101505677,EPSG:4258
Eikelandsveien 49,4211,GJERSTAD,4993,SUNDEBRU,58.800022237450634,9.087115918274538,EPSG:4258
"Eskeland nedre, Indre vei 41",4211,GJERSTAD,4980,GJERSTAD,58.89229892762231,9.03260363051962,EPSG:4258
Espevikveien 15,4211,GJERSTAD,4993,SUNDEBRU,58.807711498488196,9.108702635351968,EPSG:4258
Espevikveien 23,4211,GJERSTAD,4993,SUNDEBRU,58.80753262084371,9.10781930371,EPSG:4258
Espevikveien 3,4211,GJERSTAD,4993,SUNDEBRU,58.80553904868084,9.107588111556339,EPSG:4258
Espevikveien 40,4211,GJERSTAD,4993,SUNDEBRU,58.811308498575904,9.107460561683167,EPSG:4258
Espevikveien 42,4211,GJERSTAD,4993,SUNDEBRU,58.811395140662526,9.106948418680622,EPSG:4258
Espevikveien 44,4211,GJERSTAD,4993,SUNDEBRU,58.8155129548246,9.10129966799223,EPSG:4258
Espevikveien 46,4211,GJERSTAD,4993,SUNDEBRU,58.81557605164523,9.101005526506144,EPSG:4258
Espevikveien 5,4211,GJERSTAD,4993,SUNDEBRU,58.805880033960285,9.107935335818675,EPSG:4258
Espevikveien 66,4211,GJERSTAD,4993,SUNDEBRU,58.8105661170181,9.110252223826436,EPSG:4258
Espevikveien 68,4211,GJERSTAD,4993,SUNDEBRU,58.81029025585049,9.108303902540172,EPSG:4258
Espevikveien 9,4211,GJERSTAD,4993,SUNDEBRU,58.80626670343127,9.107348043401517,EPSG:4258
Europaveien 1220,4211,GJERSTAD,4993,SUNDEBRU,58.8599751065557,9.136807651398138,EPSG:4258
Europaveien 1231,4211,GJERSTAD,4993,SUNDEBRU,58.85994669626622,9.140683739172177,EPSG:4258
Europaveien 1371,4211,GJERSTAD,4993,SUNDEBRU,58.87007487986261,9.154420356553638,EPSG:4258
Evjevannsveien 21,4211,GJERSTAD,4980,GJERSTAD,58.90258321299935,9.016343106261466,EPSG:4258
Evjevannsveien 277,4211,GJERSTAD,4980,GJERSTAD,58.92279073803595,9.022924278370393,EPSG:4258
Evjevannsveien 279,4211,GJERSTAD,4980,GJERSTAD,58.92447911934911,9.022925397269898,EPSG:4258
Evjevannsveien 28,4211,GJERSTAD,4980,GJERSTAD,58.90362690220986,9.015343820584405,EPSG:4258
Evjevannsveien 281,4211,GJERSTAD,4980,GJERSTAD,58.925977777207805,9.028588514470634,EPSG:4258
Evjevannsveien 30,4211,GJERSTAD,4980,GJERSTAD,58.903579321088564,9.015199734408935,EPSG:4258
Evjevannsveien 306,4211,GJERSTAD,4980,GJERSTAD,58.924884518970295,9.014073232556731,EPSG:4258
Evjevannsveien 341,4211,GJERSTAD,4980,GJERSTAD,58.92807257972715,9.015007273490118,EPSG:4258
Evjevannsveien 383,4211,GJERSTAD,4980,GJERSTAD,58.93141774066566,9.01637757646724,EPSG:4258
Evjevannsveien 387,4211,GJERSTAD,4980,GJERSTAD,58.93224873438876,9.014036274668396,EPSG:4258
Evjevannsveien 52,4211,GJERSTAD,4980,GJERSTAD,58.90491084484377,9.017757138744361,EPSG:4258
Evjevannsveien 53,4211,GJERSTAD,4980,GJERSTAD,58.90467717969254,9.01891999082015,EPSG:4258
Evjevannsveien 95,4211,GJERSTAD,4980,GJERSTAD,58.90747674493733,9.02288636089909,EPSG:4258
Fisktjennliveien 132,4211,GJERSTAD,4980,GJERSTAD,58.92622975202965,8.830289517673513,EPSG:4258
Fisktjennveien 343,4211,GJERSTAD,4980,GJERSTAD,58.981267238640264,8.928737818238416,EPSG:4258
Fisktjennveien 353,4211,GJERSTAD,4980,GJERSTAD,58.9820121347765,8.927835132445892,EPSG:4258
Auslandsveien 134,4211,GJERSTAD,4980,GJERSTAD,58.88991726453961,9.038934282697337,EPSG:4258
Auslandsveien 136,4211,GJERSTAD,4980,GJERSTAD,58.889378131128424,9.039870583450176,EPSG:4258
Auslandsveien 14,4211,GJERSTAD,4980,GJERSTAD,58.88680505619665,9.021165577731896,EPSG:4258
Auslandsveien 145,4211,GJERSTAD,4980,GJERSTAD,58.88863161468805,9.040551569431756,EPSG:4258
Auslandsveien 146,4211,GJERSTAD,4980,GJERSTAD,58.88854245364713,9.041344346630655,EPSG:4258
Auslandsveien 154,4211,GJERSTAD,4980,GJERSTAD,58.888549253902,9.042529339919868,EPSG:4258
Auslandsveien 155,4211,GJERSTAD,4980,GJERSTAD,58.88783267315039,9.042263015111223,EPSG:4258
Auslandsveien 161,4211,GJERSTAD,4980,GJERSTAD,58.88838920780246,9.04309647631808,EPSG:4258
Auslandsveien 168,4211,GJERSTAD,4980,GJERSTAD,58.888514546267395,9.044259061648587,EPSG:4258
Auslandsveien 176,4211,GJERSTAD,4980,GJERSTAD,58.88892736310941,9.045127084061704,EPSG:4258
Auslandsveien 178,4211,GJERSTAD,4980,GJERSTAD,58.88917593929133,9.045673933647365,EPSG:4258
Auslandsveien 179,4211,GJERSTAD,4980,GJERSTAD,58.88877443928612,9.045838227581722,EPSG:4258
Auslandsveien 18,4211,GJERSTAD,4980,GJERSTAD,58.88944606497409,9.016708201032456,EPSG:4258
Auslandsveien 180,4211,GJERSTAD,4980,GJERSTAD,58.88968125816202,9.046516088379077,EPSG:4258
Auslandsveien 182,4211,GJERSTAD,4980,GJERSTAD,58.89029151603902,9.047714098115533,EPSG:4258
Auslandsveien 184,4211,GJERSTAD,4980,GJERSTAD,58.88968621228658,9.047708059249747,EPSG:4258
Auslandsveien 186,4211,GJERSTAD,4980,GJERSTAD,58.88959296308313,9.047296730295876,EPSG:4258
